Northern Mariana Islands,50025,49796
Saint Kitts and Nevis,47847,47755
Turks and Caicos Islands,46431,46062
Sint Maarten,44309,44222
American Samoa,43544,43914
Marshall Islands,42415,41996
Liechtenstein,39822,39584
Monaco,36157,36297
San Marino,,33642
Gibraltar,,32688
Saint Martin,32337,32077
British Virgin Islands,31763,31538
Palau,,18058
Cook Islands,17072,17044
Anguilla,15936,15899
Nauru,12884,12780
Tuvalu,11478,11396
Wallis and Futuna,11439,11502
Saint Barthelemy,,10994
Saint Pierre and Miquelon,,5840
Montserrat,,4386
Falkland Islands,,3791
Niue,1935,1935
Tokelau,,1893
Vatican City,,764
