Country,Region,Happiness Rank,Ladder score,Economy,Social support,Health,Freedom,Trust,Generosity,Dystopia Residual,Year,Emoji,Latitude,Longitude,Population,Percent_Population_aged_0_14,Percent_Population_aged_10_19,Percent_Population_aged_10_24,Percent_Population_aged_15_64,Percent_Population_aged_65_and_older,LifeExpectancy_male,LifeExpectancy_female
Mali,Sub-Saharan Africa,122,4.232,0.747,0.688,0.267,0.586,0.09,0.12,1.734,2024,😡,16.3700359,-2.2900239,18.7,47.0,24.0,33.0,51.0,3.0,56.0,60.0
Madagascar,Sub-Saharan Africa,123,4.228,0.628,0.823,0.333,0.25,0.123,0.172,1.897,2024,😡,-18.9249604,46.4416422,31.1,38.0,22.0,32.0,58.0,3.0,65.0,70.0
Togo,Sub-Saharan Africa,124,4.214,0.758,0.586,0.32,0.453,0.156,0.127,1.814,2024,😡,8.7800265,1.0199765,9.3,39.0,23.0,32.0,57.0,3.0,61.0,63.0
Jordan,Middle East and North Africa,125,4.186,1.262,0.983,0.594,0.593,0.189,0.059,0.504,2024,😡,44.6663146,-93.6261918,11.4,31.0,20.0,29.0,65.0,4.0,75.0,79.0
India,South Asia,126,4.054,1.166,0.653,0.417,0.767,0.122,0.174,0.756,2024,😡,22.3511148,78.6677428,1441.7,24.0,17.0,26.0,68.0,7.0,71.0,74.0
Egypt,Middle East and North Africa,127,3.977,1.37,0.996,0.488,0.49,0.259,0.025,0.349,2024,😡,26.2540493,29.2675469,114.5,32.0,20.0,28.0,63.0,5.0,70.0,75.0
Sri Lanka,South Asia,128,3.898,1.361,1.179,0.586,0.583,0.031,0.144,0.014,2024,😡,7.5554942,80.7137847,21.9,22.0,16.0,23.0,66.0,12.0,73.0,81.0
Bangladesh,South Asia,129,3.886,1.122,0.249,0.513,0.775,0.167,0.14,0.919,2024,😡,-0.2864982,36.0514231,174.7,25.0,18.0,27.0,68.0,6.0,72.0,77.0
Ethiopia,Sub-Saharan Africa,130,3.861,0.792,0.915,0.42,0.441,0.101,0.27,0.923,2024,😡,10.2116702,38.6521203,129.7,39.0,23.0,32.0,58.0,3.0,64.0,70.0
Tanzania,Sub-Saharan Africa,131,3.781,0.82,0.706,0.38,0.709,0.257,0.191,0.717,2024,😡,-6.5247123,35.7878438,69.4,43.0,23.0,33.0,54.0,3.0,66.0,70.0
Comoros,Sub-Saharan Africa,132,3.566,0.896,0.328,0.37,0.172,0.16,0.128,1.512,2024,😡,-12.2045176,44.2832964,0.9,37.0,21.0,30.0,58.0,4.0,63.0,68.0
Yemen,Middle East and North Africa,133,3.561,0.671,1.281,0.293,0.362,0.113,0.08,0.76,2024,😡,16.3471243,47.8915271,35.2,39.0,23.0,32.0,59.0,3.0,63.0,70.0
Zambia,Sub-Saharan Africa,134,3.502,0.899,0.809,0.264,0.727,0.109,0.168,0.526,2024,😡,-14.5189121,27.5589884,21.1,42.0,24.0,34.0,56.0,2.0,61.0,66.0
Eswatini,Sub-Saharan Africa,135,3.502,1.255,0.925,0.176,0.284,0.116,0.059,0.686,2024,😡,-26.5624806,31.3991317,1.2,34.0,22.0,31.0,62.0,4.0,58.0,65.0
Malawi,Sub-Saharan Africa,136,3.421,0.617,0.41,0.349,0.571,0.136,0.135,1.203,2024,😡,-13.2687204,33.9301963,21.5,42.0,25.0,35.0,56.0,3.0,62.0,69.0
Botswana,Sub-Saharan Africa,137,3.383,1.445,0.969,0.241,0.567,0.082,0.014,0.066,2024,😡,-23.1681782,24.5928742,2.7,32.0,20.0,28.0,64.0,4.0,64.0,69.0
Zimbabwe,Sub-Saharan Africa,138,3.341,0.748,0.85,0.232,0.487,0.131,0.096,0.797,2024,😡,-18.4554963,29.7468414,17.0,40.0,24.0,34.0,57.0,3.0,59.0,65.0
Sierra Leone,Sub-Saharan Africa,140,3.245,0.654,0.566,0.253,0.469,0.053,0.181,1.068,2024,😡,8.6400349,-11.8400269,9.0,38.0,23.0,33.0,59.0,3.0,60.0,63.0
Lesotho,Sub-Saharan Africa,141,3.186,0.771,0.851,0.0,0.523,0.085,0.082,0.875,2024,😡,-29.6039267,28.3350193,2.4,34.0,21.0,30.0,62.0,4.0,52.0,58.0
Lebanon,Middle East and North Africa,142,2.707,1.377,0.577,0.556,0.173,0.029,0.068,-0.073,2024,😡,40.375713,-76.4626118,5.2,27.0,20.0,27.0,62.0,11.0,78.0,82.0
Afghanistan,South Asia,143,1.721,0.628,0.0,0.242,0.0,0.088,0.091,0.672,2024,😡,33.7680065,66.2385139,43.4,43.0,24.0,34.0,55.0,2.0,62.0,68.0
